when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_lat,wind_lon,wind_dist_km
2024-11-01 18,48.5,233.25,998.5,1013.6,15.2,17.3,670.0,0.73,2.579,25.6,32.1,22.1,30.8,46.75,228.0,439.0
2024-11-02 00,54.75,199.75,958.6,1000.5,41.9,43.6,520.0,1.58,8.391,57.3,95.9,52.1,74.1,51.75,198.75,340.0
2024-11-02 00,54.5,174.5,983.9,1002.1,18.2,20.5,620.0,1.65,3.308,29.4,37.9,29.4,41.5,51.5,172.0,373.0
2024-11-02 00,48.5,234.5,1000.3,1011.9,11.6,13.2,670.0,0.69,1.972,20.4,24.6,22.2,28.8,45.25,230.0,497.0
2024-11-02 06,55.5,204.5,965.7,1000.2,34.5,36.8,550.0,1.54,6.691,49.2,75.8,49.1,69.8,52.25,204.0,363.0
2024-11-02 06,55.25,175.25,985.3,1003.0,17.7,19.7,590.0,1.66,3.343,29.2,38.0,28.1,40.4,51.0,174.0,480.0
2024-11-02 06,48.25,235.25,1004.0,1011.3,7.4,7.9,580.0,0.49,1.355,14.5,17.0,20.5,24.9,47.0,233.25,204.0
2024-11-02 12,55.75,210.25,973.1,1000.8,27.7,29.7,550.0,1.68,5.393,41.8,60.9,44.9,62.6,53.25,209.25,285.0
2024-11-02 12,55.25,175.75,987.2,1004.1,16.9,18.3,550.0,1.54,3.322,28.7,37.7,26.0,35.7,54.75,170.25,355.0
2024-11-02 12,37.5,146.25,1005.2,1015.7,10.5,11.0,490.0,1.12,2.248,24.5,34.5,34.5,48.8,36.25,146.5,141.0
2024-11-02 18,56.5,214.75,977.8,1002.4,24.6,26.1,550.0,1.43,4.749,37.7,53.1,43.3,60.1,54.5,213.0,248.0
2024-11-02 18,55.5,176.25,988.0,1004.4,16.5,17.6,540.0,1.34,3.262,28.1,36.9,27.6,38.1,59.5,172.5,498.0
2024-11-02 18,38.0,152.0,999.5,1013.6,14.1,14.4,500.0,1.23,2.885,29.6,43.7,40.4,57.2,37.75,152.0,28.0
2024-11-02 18,35.5,145.75,1002.4,1013.9,11.5,11.8,470.0,1.29,2.515,27.0,40.4,39.2,57.2,35.25,144.25,139.0
2024-11-03 00,57.25,218.0,980.9,1003.8,22.9,23.5,500.0,1.47,4.709,36.5,52.3,40.8,55.7,55.5,218.0,195.0
2024-11-03 00,55.75,176.25,988.9,1004.8,15.9,16.7,510.0,1.28,3.269,27.8,36.9,31.0,43.2,59.25,172.0,464.0
2024-11-03 00,38.25,158.5,996.1,1012.2,16.1,16.2,460.0,0.95,3.529,33.5,53.2,41.5,61.8,38.0,158.25,35.0
2024-11-03 06,55.75,176.25,989.7,1004.9,15.2,16.2,540.0,1.15,3.0,26.2,33.9,30.4,40.6,58.25,175.0,288.0
2024-11-03 06,39.5,165.25,989.9,1008.9,19.0,18.5,370.0,1.67,5.002,39.8,73.4,42.1,58.4,38.75,164.75,94.0
2024-11-03 12,40.0,171.0,986.6,1008.1,21.5,20.9,370.0,2.0,5.661,43.1,82.2,50.4,71.4,39.75,171.25,35.0
2024-11-03 12,55.75,176.0,990.5,1005.3,14.7,15.9,560.0,1.13,2.832,25.2,32.0,30.0,40.3,57.25,174.5,191.0
2024-11-03 12,46.0,209.25,1008.2,1014.7,6.5,6.3,280.0,0.41,2.233,19.5,29.0,28.8,41.6,44.5,207.75,204.0
2024-11-03 18,41.25,177.75,984.4,1006.2,21.8,21.9,450.0,1.82,4.867,40.8,68.9,46.5,68.2,41.0,177.75,28.0
2024-11-03 18,55.5,175.75,989.9,1004.7,14.7,15.8,570.0,1.09,2.768,24.8,31.4,30.2,41.7,59.75,174.0,484.0
2024-11-03 18,48.5,216.0,1007.4,1015.4,8.0,7.8,320.0,0.38,2.441,21.1,30.4,28.6,43.5,47.25,214.25,191.0
2024-11-04 00,44.0,183.75,978.3,1004.6,26.3,26.3,430.0,2.03,6.118,46.3,82.2,49.9,72.3,43.75,183.75,28.0
2024-11-04 00,55.25,175.75,990.2,1004.2,14.0,14.9,560.0,1.07,2.662,24.0,30.2,31.3,43.2,59.5,173.5,491.0
2024-11-04 00,50.75,221.75,1002.4,1014.9,12.4,12.0,360.0,0.6,3.338,27.1,40.2,30.1,41.0,48.25,219.25,331.0
