track,hf,onset,n,start,peak_when,peak_lat,peak_lon,min_p,peak_depth,peak_scale_km,peak_grad,peak_vg_kt,max_wind_kt,max_gust_kt,peak_wind_dist_km,pre_depth,pre_scale_km,pre_grad,pre_vg_kt,pre_p,pre_lat,deepen24,month,season
102,0,,6,2020-11-06 18,2020-11-07 18,51.75,172.0,997.7,11.2,250.0,4.169,28.7,37.2,48.2,65.0,6.7,280.0,2.374,20.2,1004.4,47.25,-6.699999999999932,11,2020
104,0,,4,2020-11-07 06,2020-11-07 06,57.75,150.5,998.6,9.7,580.0,1.791,16.9,27.9,38.4,199.0,nan,nan,nan,nan,nan,nan,nan,11,2020
105,0,,8,2020-11-07 12,2020-11-09 06,57.0,174.5,973.5,33.3,480.0,7.161,49.4,36.2,50.3,106.0,13.0,390.0,3.352,28.1,992.2,49.0,-18.700000000000045,11,2020
108,0,,3,2020-11-08 00,2020-11-08 00,58.0,168.0,997.1,8.9,460.0,1.997,17.9,23.8,32.3,272.0,nan,nan,nan,nan,nan,nan,nan,11,2020
109,0,,5,2020-11-08 00,2020-11-08 18,48.0,151.25,991.0,12.5,330.0,3.757,29.5,35.4,47.4,225.0,nan,nan,nan,nan,nan,nan,nan,11,2020
110,0,,5,2020-11-08 06,2020-11-09 00,55.0,145.5,998.3,12.7,420.0,3.014,25.2,34.2,44.6,179.0,nan,nan,nan,nan,nan,nan,nan,11,2020
112,0,,6,2020-11-08 12,2020-11-09 06,44.25,175.5,997.4,13.9,370.0,3.613,30.4,39.9,59.8,317.0,nan,nan,nan,nan,nan,nan,nan,11,2020
114,0,,5,2020-11-09 06,2020-11-10 06,50.25,164.25,975.1,29.1,450.0,6.549,47.3,44.2,74.4,311.0,15.6,480.0,3.324,30.1,988.8,45.75,-13.699999999999932,11,2020
116,0,,8,2020-11-10 06,2020-11-12 00,36.5,227.75,1016.2,5.3,420.0,1.223,14.8,28.9,40.6,483.0,7.1,270.0,2.533,21.9,1019.4,42.25,-3.199999999999932,11,2020
118,0,,8,2020-11-10 12,2020-11-10 18,34.5,160.0,1012.4,7.0,370.0,1.795,20.0,32.8,45.1,299.0,nan,nan,nan,nan,nan,nan,nan,11,2020
122,1,2020-11-15 00,19,2020-11-11 12,2020-11-15 06,51.5,227.5,970.1,38.4,400.0,9.553,58.8,50.4,76.5,222.0,15.7,340.0,4.499,33.7,995.2,48.75,-25.100000000000023,11,2020
123,0,,3,2020-11-13 12,2020-11-13 18,55.0,147.75,1004.5,16.6,460.0,3.655,29.8,29.1,40.8,84.0,nan,nan,nan,nan,nan,nan,nan,11,2020
125,0,,4,2020-11-13 18,2020-11-13 18,29.75,151.25,1008.1,9.9,290.0,3.261,30.0,36.2,46.8,61.0,nan,nan,nan,nan,nan,nan,nan,11,2020
126,0,,3,2020-11-14 06,2020-11-14 18,52.5,156.0,995.3,21.7,650.0,3.795,33.7,35.2,50.3,381.0,nan,nan,nan,nan,nan,nan,nan,11,2020
128,0,,3,2020-11-14 18,2020-11-15 06,47.0,164.75,996.3,20.7,470.0,4.435,36.9,39.6,57.6,155.0,nan,nan,nan,nan,nan,nan,nan,11,2020
129,0,,4,2020-11-15 00,2020-11-15 18,49.0,169.75,978.9,36.0,480.0,7.595,53.9,51.6,69.2,353.0,nan,nan,nan,nan,nan,nan,nan,11,2020
130,0,,4,2020-11-15 12,2020-11-15 12,57.75,211.5,996.0,15.3,650.0,2.725,24.6,31.8,47.7,422.0,nan,nan,nan,nan,nan,nan,nan,11,2020
131,0,,8,2020-11-15 18,2020-11-17 12,47.0,230.75,972.6,32.7,640.0,5.817,48.8,43.6,62.1,366.0,14.2,520.0,2.862,28.4,999.6,42.0,-27.0,11,2020
132,0,,6,2020-11-16 00,2020-11-16 00,49.5,171.25,974.3,39.0,470.0,8.426,57.4,47.1,71.2,306.0,nan,nan,nan,nan,nan,nan,nan,11,2020
134,0,,6,2020-11-17 00,2020-11-18 00,56.25,168.0,955.0,45.6,420.0,10.845,63.7,45.9,68.3,125.0,16.7,530.0,3.289,29.8,994.2,48.5,-39.200000000000045,11,2020
136,0,,3,2020-11-17 18,2020-11-17 18,50.25,230.75,962.9,42.2,520.0,8.503,59.3,44.4,73.7,66.0,nan,nan,nan,nan,nan,nan,nan,11,2020
137,0,,7,2020-11-18 06,2020-11-18 06,54.75,226.5,986.6,20.4,610.0,3.661,31.7,37.3,52.5,397.0,nan,nan,nan,nan,nan,nan,nan,11,2020
138,0,,13,2020-11-18 06,2020-11-19 12,34.0,216.75,1011.5,11.4,270.0,4.084,32.7,35.9,57.1,95.0,6.3,250.0,2.41,21.8,1014.3,36.5,-2.7999999999999545,11,2020
141,0,,6,2020-11-19 12,2020-11-20 00,55.25,190.75,968.0,30.7,490.0,6.539,47.0,45.7,64.0,447.0,nan,nan,nan,nan,nan,nan,nan,11,2020
144,0,,3,2020-11-20 06,2020-11-20 06,53.25,218.75,1007.7,9.6,400.0,2.222,19.8,31.4,45.7,250.0,nan,nan,nan,nan,nan,nan,nan,11,2020
145,0,,3,2020-11-20 12,2020-11-20 18,57.0,155.5,998.6,9.1,530.0,1.731,16.3,24.2,32.6,497.0,nan,nan,nan,nan,nan,nan,nan,11,2020
149,0,,3,2020-11-21 00,2020-11-21 12,48.25,177.25,996.4,8.3,450.0,1.835,18.1,31.2,40.9,345.0,nan,nan,nan,nan,nan,nan,nan,11,2020
151,1,2020-11-23 06,17,2020-11-21 06,2020-11-23 06,55.5,200.25,957.5,44.0,560.0,8.348,58.1,50.2,75.1,337.0,24.0,580.0,4.464,39.6,982.7,45.25,-25.200000000000045,11,2020
153,0,,3,2020-11-22 00,2020-11-22 12,53.0,148.0,985.0,23.3,510.0,4.657,37.3,41.5,58.8,270.0,nan,nan,nan,nan,nan,nan,nan,11,2020
154,0,,3,2020-11-22 00,2020-11-22 00,48.0,210.0,1002.2,12.2,280.0,4.139,30.2,37.4,53.5,225.0,nan,nan,nan,nan,nan,nan,nan,11,2020
