track,hf,onset,n,start,peak_when,peak_lat,peak_lon,min_p,peak_depth,peak_scale_km,peak_grad,peak_vg_kt,max_wind_kt,max_gust_kt,peak_wind_dist_km,pre_depth,pre_scale_km,pre_grad,pre_vg_kt,pre_p,pre_lat,deepen24,month,season
108,0,,3,2020-12-20 18,2020-12-20 18,47.5,170.0,962.3,25.7,640.0,4.632,40.9,43.2,66.4,397.0,nan,nan,nan,nan,nan,nan,nan,12,2020
109,0,,13,2020-12-20 18,2020-12-22 00,56.25,184.75,948.7,33.8,580.0,6.458,48.3,45.7,68.5,488.0,27.2,460.0,6.107,44.4,963.6,53.25,-14.899999999999977,12,2020
111,0,,6,2020-12-22 12,2020-12-23 06,55.75,149.75,984.5,23.3,340.0,6.618,42.6,37.4,52.2,110.0,nan,nan,nan,nan,nan,nan,nan,12,2020
113,0,,5,2020-12-23 00,2020-12-23 18,53.0,165.5,976.9,22.9,420.0,5.5,40.2,39.4,56.9,139.0,nan,nan,nan,nan,nan,nan,nan,12,2020
114,0,,4,2020-12-23 12,2020-12-24 00,45.5,202.75,983.7,23.1,440.0,5.236,41.3,43.1,59.7,160.0,nan,nan,nan,nan,nan,nan,nan,12,2020
115,0,,6,2020-12-24 06,2020-12-24 06,54.75,176.75,977.0,22.9,550.0,4.273,35.1,42.4,61.1,496.0,nan,nan,nan,nan,nan,nan,nan,12,2020
116,0,,6,2020-12-24 12,2020-12-24 12,49.75,206.0,980.1,27.4,460.0,5.956,44.6,44.2,60.2,183.0,nan,nan,nan,nan,nan,nan,nan,12,2020
117,0,,7,2020-12-24 18,2020-12-25 06,51.5,223.75,979.3,28.1,360.0,7.655,48.9,42.2,62.2,228.0,nan,nan,nan,nan,nan,nan,nan,12,2020
119,1,2020-12-26 18,22,2020-12-25 18,2020-12-26 18,47.5,175.25,941.6,44.8,570.0,8.574,62.4,53.4,82.4,198.0,20.6,790.0,3.373,34.5,978.3,44.0,-36.69999999999993,12,2020
120,0,,3,2020-12-25 18,2020-12-26 06,48.0,234.0,990.9,20.4,340.0,5.912,41.0,38.7,59.9,205.0,nan,nan,nan,nan,nan,nan,nan,12,2020
121,0,,4,2020-12-26 00,2020-12-26 12,49.75,213.75,989.6,18.1,360.0,4.987,36.6,37.6,52.8,383.0,nan,nan,nan,nan,nan,nan,nan,12,2020
124,1,2020-12-29 12,11,2020-12-29 12,2020-12-30 12,42.5,192.25,954.9,50.3,440.0,11.509,72.0,71.6,97.8,135.0,27.0,320.0,8.096,53.2,981.5,36.25,-26.600000000000023,12,2020
125,0,,6,2020-12-30 00,2020-12-30 18,49.75,229.5,983.2,31.7,440.0,7.21,50.4,38.3,54.1,229.0,nan,nan,nan,nan,nan,nan,nan,12,2020
128,1,2020-12-31 06,22,2020-12-30 18,2020-12-31 18,52.0,173.25,922.6,57.2,570.0,10.846,71.6,57.7,89.0,207.0,32.6,550.0,6.342,51.3,959.5,43.5,-36.89999999999998,12,2020
129,0,,3,2021-01-01 06,2021-01-01 06,52.0,214.0,979.1,20.0,630.0,3.589,32.1,34.2,47.7,278.0,nan,nan,nan,nan,nan,nan,nan,1,2020
130,0,,7,2021-01-01 18,2021-01-02 06,52.0,213.0,962.8,26.8,590.0,5.066,41.5,44.7,66.9,391.0,nan,nan,nan,nan,nan,nan,nan,1,2020
131,0,,7,2021-01-03 12,2021-01-04 00,50.5,215.75,966.2,30.0,390.0,7.686,50.6,49.4,71.8,120.0,nan,nan,nan,nan,nan,nan,nan,1,2020
133,1,2021-01-05 00,10,2021-01-04 18,2021-01-05 18,53.5,208.25,949.3,31.3,570.0,6.091,46.8,49.6,67.5,448.0,26.7,390.0,7.005,47.6,956.9,49.75,-7.600000000000023,1,2020
135,1,2021-01-05 18,3,2021-01-05 12,2021-01-05 18,55.25,221.75,958.2,27.9,450.0,6.509,45.7,46.8,73.8,223.0,nan,nan,nan,nan,nan,nan,nan,1,2020
136,1,2021-01-06 00,12,2021-01-05 18,2021-01-07 00,49.5,211.25,967.2,25.5,600.0,4.814,40.8,49.1,79.0,424.0,20.4,270.0,7.11,44.2,978.7,43.0,-11.5,1,2020
137,1,2021-01-07 06,9,2021-01-07 06,2021-01-08 18,50.5,168.75,959.0,34.8,620.0,6.281,49.9,46.4,70.3,223.0,25.0,610.0,4.544,41.3,978.0,43.5,-19.0,1,2020
138,1,2021-01-08 06,11,2021-01-07 06,2021-01-08 18,41.75,207.0,955.4,51.0,450.0,11.461,72.7,61.7,97.6,237.0,21.3,420.0,5.049,41.4,986.3,40.25,-30.899999999999977,1,2020
140,1,2021-01-08 06,5,2021-01-07 18,2021-01-08 06,48.75,227.5,983.9,29.1,390.0,7.227,48.9,48.1,74.1,158.0,nan,nan,nan,nan,nan,nan,nan,1,2020
143,0,,14,2021-01-09 18,2021-01-11 00,55.5,204.5,959.3,22.7,1060.0,3.772,35.5,41.4,54.7,469.0,19.2,920.0,3.175,30.5,969.2,53.75,-9.900000000000091,1,2020
144,0,,6,2021-01-10 00,2021-01-11 06,53.5,151.75,992.3,17.3,470.0,3.86,31.6,36.3,49.4,172.0,16.6,510.0,3.306,28.0,992.7,56.0,-0.40000000000009095,1,2020
148,0,,4,2021-01-12 00,2021-01-12 12,55.25,225.0,966.4,25.0,300.0,8.115,47.2,44.9,66.2,105.0,nan,nan,nan,nan,nan,nan,nan,1,2020
149,1,2021-01-13 06,5,2021-01-12 18,2021-01-13 06,42.25,198.5,964.4,36.5,310.0,11.346,62.9,55.4,82.4,62.0,nan,nan,nan,nan,nan,nan,nan,1,2020
150,1,2021-01-13 18,15,2021-01-12 18,2021-01-14 06,43.75,176.25,963.6,38.0,570.0,7.166,56.4,51.8,86.7,457.0,33.0,350.0,9.198,57.3,977.7,43.0,-14.100000000000023,1,2020
152,0,,3,2021-01-13 18,2021-01-14 06,50.75,146.25,993.4,21.0,410.0,5.048,38.1,37.4,47.5,206.0,nan,nan,nan,nan,nan,nan,nan,1,2020
155,0,,3,2021-01-14 12,2021-01-14 12,47.75,206.75,961.3,34.7,580.0,6.445,51.0,42.6,59.7,494.0,nan,nan,nan,nan,nan,nan,nan,1,2020
157,0,,3,2021-01-15 00,2021-01-15 06,46.5,160.75,985.9,24.7,470.0,5.391,42.7,43.8,64.9,432.0,nan,nan,nan,nan,nan,nan,nan,1,2020
