track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu,depth_pw
1433,2022-11-28 12,34.5,170.0,0.0,1,1,34.7,220.0,14.932,66.9,81.4,982.0,1028.4250460426385,46.42132289810729,1011.4115479636558,29.407824819124585,119.02734375,-38.61861585511335,5703.166015625,1998.1275071067228,336.11556328387536,-220.02978515625,6.420881271362305,20.614312744140648,110.3912353515625,-370.84991455078125,32.56
1453,2022-12-01 12,57.75,216.5,nan,0,0,22.7,550.0,4.209,34.0,48.3,999.9,1033.6040429600448,33.73539061629481,1000.6998662285212,0.8312138847711594,83.64208984375,-195.45897909434646,5273.3623046875,1973.7392526258327,359.5693903661076,-111.21435546875,8.596065521240234,6.186059570312523,-282.7453308105469,-143.54502868652344,17.35
1459,2022-12-05 00,57.75,163.5,nan,0,0,26.0,380.0,6.795,44.4,56.1,965.4,1018.2534375169566,52.90108155992539,978.3470107461063,12.99465478907507,-32.23193359375,29.18052906763726,5155.27099609375,1012.4124165324382,312.59315374186946,-541.072265625,7.601076602935791,1.1385437011718977,113.63400268554688,-257.61700439453125,24.35
1478,2022-12-08 06,39.25,152.75,18.0,1,1,17.1,270.0,6.113,41.0,57.2,996.9,1023.5350085197451,26.644200414276384,1006.6681831101287,9.777375004659916,20.87158203125,99.54884002389207,5474.8369140625,1627.673030452988,340.92916925518693,-367.5341796875,10.140107154846191,15.549493408203148,-270.4457702636719,-528.0291748046875,15.84
1488,2022-12-11 00,30.25,156.0,24.0,1,1,13.1,300.0,4.214,35.8,60.4,1001.0,1017.344433452282,16.356701518688283,1015.2845368279615,14.29680489436771,126.021484375,-3.862213581424985,5735.689453125,1993.1527571702713,332.6022338523057,-249.86474609375,4.697044849395752,21.487268066406273,-30.54226303100586,-382.87933349609375,14.03
1485,2022-12-11 00,47.5,191.5,nan,0,0,14.4,520.0,2.93,27.4,46.4,996.5,1025.9940773854892,29.519101799551663,1008.4065963371638,11.931620751226319,273.1884765625,198.9695999719121,5578.14453125,1999.707954995041,309.74575398710635,-219.78076171875,3.793532609939575,8.949609375000023,-379.4242858886719,-226.25656127929688,15.79
1496,2022-12-13 00,35.0,174.0,30.0,0,1,9.0,620.0,1.635,20.6,40.6,1005.6,1025.868956342816,20.30718876469109,1006.3716840019667,0.8099164238417416,145.05419921875,91.43876106508704,5657.8994140625,1978.5397703971928,355.3827298531819,-202.55029296875,4.278256416320801,19.240869140625023,-272.43170166015625,-420.6950378417969,8.18
1498,2022-12-14 12,44.75,152.0,12.0,1,1,16.7,560.0,3.357,31.7,53.8,985.7,1027.403992838351,41.69921988913234,1000.772073406521,15.06730045730228,-54.7001953125,26.89469585917991,5277.50341796875,882.6893088871652,317.4691320587644,-610.47265625,10.409666061401367,5.797296142578148,-849.0656127929688,-426.1869812011719,17.09
1511,2022-12-18 00,41.5,148.25,18.0,1,1,21.3,700.0,3.568,36.2,57.1,987.2,1025.6016853797607,38.41857991101074,1003.3548686296311,16.17176316088114,61.232421875,-8.304009023012462,5445.9951171875,1066.7344807750299,297.0829445840382,-501.95263671875,11.090118408203125,8.252069091796898,-525.776123046875,-720.203125,13.42
1520,2022-12-20 06,49.5,180.5,nan,0,0,10.6,920.0,1.741,18.8,38.7,987.2,1011.1329241882615,23.92168151248029,990.7270765827367,3.515833906955436,47.30126953125,221.10596363545164,5295.4375,1457.942304787696,270.0,-400.8916015625,2.554051160812378,6.242303466796898,-269.9555358886719,-179.30880737304688,8.7
