track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu
482,2021-02-28 00,41.75,169.25,nan,0,0,23.1,570.0,4.424,40.5,71.4,991.6,1034.9006901173243,43.28063396498055,1019.7274035548946,28.107347402550886,149.10546875,73.1397583504379,5542.625,974.9288463128405,327.11397575331625,-419.99169921875,10.581031799316406,9.008508300781273,-564.8145141601562,-409.0015869140625
507,2021-03-06 18,51.25,218.25,nan,0,0,25.1,590.0,4.674,39.2,66.8,987.7,1039.5839395592652,51.86549473504647,1000.5987318361686,12.880287011949804,-23.216796875,43.10175113974389,5215.8720703125,201.72615863376896,195.01623516198268,-252.81298828125,1.9891473054885864,5.770227050781273,30.217300415039062,121.0130386352539
517,2021-03-12 00,56.0,162.5,nan,0,0,25.2,770.0,4.087,35.9,44.3,987.2,1027.932782829252,40.70091027065814,1010.4737834852788,23.241910926685023,19.638671875,21.962273280525235,5187.11767578125,895.6408621448832,232.32407536871904,-294.5810546875,6.866696834564209,-1.5616821289062273,-63.7713737487793,-357.84576416015625
535,2021-03-17 12,44.5,219.0,nan,0,0,16.5,580.0,3.098,30.1,43.9,994.0,1028.9339789998148,34.887897456846076,1006.7284547399064,12.682373196937647,-81.615234375,51.54094567456494,5270.5546875,337.1375737487706,204.41266375163045,-317.49853515625,2.2690646648406982,8.768701171875023,-121.58450317382812,-228.62506103515625
545,2021-03-22 18,47.5,197.25,nan,0,0,26.4,660.0,4.617,41.1,49.7,992.1,1039.3130610442513,47.2626460051888,1006.4496657663146,14.399250727252138,-5.74951171875,91.17929621901536,5365.3505859375,1234.3074929747734,193.26097931976395,-194.31201171875,1.580411672592163,5.399041748046898,-151.52999877929688,-161.78857421875
568,2021-03-30 12,54.75,146.25,nan,0,0,21.1,610.0,3.902,33.4,49.2,991.5,1013.1456211571457,21.649893618083183,1007.8173318494496,16.3216043103871,95.90966796875,82.38336964493845,5382.70654296875,1167.2045927035472,208.59398720111082,-203.1826171875,2.6907360553741455,-1.6902221679687273,-33.16652297973633,-124.39146423339844
585,2021-04-06 18,34.0,151.25,42.0,0,1,12.8,500.0,2.597,28.7,39.1,1000.7,1018.701190697232,17.96962331441955,1011.0166217184855,10.285054335672953,100.18310546875,33.74190915082966,5676.1826171875,1995.6278498672882,315.9549186184691,-275.68408203125,7.932037353515625,17.271813964843773,-147.355712890625,-460.30731201171875
585,2021-04-08 06,45.25,158.25,6.0,1,1,43.7,570.0,8.229,61.5,60.6,967.5,1020.43031830405,52.9584555110813,999.3581141940363,31.88625140106751,8.3525390625,131.97772330068307,5449.03369140625,1510.9927688152432,267.88707916417644,-398.416015625,12.094074249267578,1.1924072265625227,36.027122497558594,-64.99817657470703
578,2021-04-08 06,29.25,215.5,nan,0,0,6.3,630.0,1.123,16.8,35.1,1016.7,1032.9080743043817,16.18633358172542,1017.9588752590943,1.2371345364380204,-137.89453125,-19.445685082590295,5498.22509765625,451.620498667699,216.4371856481993,-146.6376953125,2.6107945442199707,19.482232666015648,28.31201934814453,-260.2436218261719
601,2021-04-14 18,30.0,215.5,nan,0,0,6.4,510.0,1.275,17.7,30.7,1017.0,1035.6379035703226,18.667505621103828,1016.0410748852308,-0.9293230639879084,-42.3310546875,-41.4364903516353,5596.9345703125,1994.420943333523,332.54292390406175,-179.52880859375,2.5745668411254883,19.476312255859398,5.5729193687438965,-91.05237579345703
613,2021-04-18 18,46.25,186.0,nan,0,0,9.4,420.0,2.256,21.5,46.2,1012.1,1033.8715203564468,21.78564389160306,988.3683307200758,-23.717545744767904,-175.57958984375,-127.53886494155915,5262.0302734375,340.4234916903854,214.6643642642314,-169.8740234375,4.2258734703063965,5.364160156250023,-73.28621673583984,-26.84663963317871
619,2021-04-22 06,43.75,167.5,nan,0,0,14.5,430.0,3.374,30.2,38.8,997.8,1025.7830256166735,28.021612042454763,995.4242081167345,-2.3372054574842878,32.79345703125,17.474175331858163,5480.599609375,1690.4167555988477,245.82104814440163,-382.63916015625,8.189817428588867,4.022515869140648,109.66973876953125,-303.4670715332031
640,2021-04-26 12,36.75,155.75,6.0,1,1,42.5,450.0,9.487,66.4,82.9,971.8,1025.4436616135365,53.602719230724006,1008.9801795950825,37.13923721227002,131.2880859375,10.56435007945782,5707.16015625,623.130345571707,272.5521554736216,-363.63720703125,7.608288288116455,15.724938964843773,-56.88594436645508,-523.2333374023438
631,2021-04-26 12,48.75,196.75,nan,0,0,20.5,850.0,3.361,33.1,44.3,983.7,1026.969602378102,43.26720979997708,992.77824560579,9.075853027664948,34.650390625,142.3929525878594,5441.236328125,503.4994541825969,227.6980286539284,-276.69921875,1.6361160278320312,5.018853759765648,86.53722381591797,-298.46478271484375
651,2021-10-01 06,49.0,200.25,18.0,1,1,19.1,400.0,4.802,36.9,64.1,991.3,1025.744955389554,34.49226984267898,1000.5864712588437,9.333785711968744,110.189453125,-21.946831030825805,5602.56640625,612.5364449268852,356.586823805544,-343.5029296875,2.175788402557373,10.750939941406273,-390.22344970703125,-367.64892578125
679,2021-10-15 06,51.25,160.5,nan,0,0,17.1,770.0,2.85,27.7,51.2,996.8,1027.2595851790115,30.495913304011538,1013.9245704487487,17.160898573748682,94.01513671875,0.9756715094907967,5501.08740234375,908.8858838891538,261.09801510685463,-253.50732421875,9.424384117126465,7.789178466796898,-219.49588012695312,-483.4777526855469
690,2021-10-19 12,57.5,214.5,nan,0,0,24.2,270.0,8.521,46.6,60.8,977.1,1012.5511093006812,35.41939543349372,992.7268168362104,15.595102969022946,61.7666015625,72.49537480076407,5414.99169921875,1802.5341729208658,280.13021492471324,-347.619140625,9.1265869140625,7.051202392578148,120.104736328125,-64.45118713378906
700,2021-10-21 18,56.0,187.25,6.0,1,1,47.3,450.0,10.632,64.3,70.9,948.6,1013.7262435852149,65.15812835083989,975.6155444205933,27.047429186218324,97.49267578125,-70.50466760498797,5473.84521484375,799.1230845772279,295.84225223175747,-385.45263671875,3.94393253326416,5.983819580078148,382.36700439453125,-482.419189453125
706,2021-10-23 18,43.25,163.25,12.0,1,1,30.1,430.0,6.974,51.0,55.7,981.3,1025.5279278053763,44.262852121782544,999.2064784135893,17.941402729995502,149.36474609375,132.35680454950634,5662.9951171875,743.8969936409391,250.02775252708858,-252.80029296875,5.713133335113525,13.752740478515648,-236.76513671875,-634.1555786132812
722,2021-10-30 06,50.0,203.25,nan,0,0,31.9,880.0,5.042,45.9,59.0,973.3,1019.6740853955498,46.41370941898731,990.4603727095953,17.199996733032776,21.4375,2.5708947820407824,5445.6484375,500.7259959243621,182.04518743985082,-389.0048828125,1.6737515926361084,7.717279052734398,245.90965270996094,-148.84059143066406
732,2021-11-02 12,45.5,224.25,12.0,1,1,16.0,550.0,3.146,29.8,50.3,992.1,1017.776833452207,25.62870112798828,1014.2120913827537,22.06395905853492,145.1005859375,59.54488413716265,5567.9853515625,1306.1373732789446,233.46910084310286,-196.4892578125,2.6110098361968994,12.442010498046898,-279.9043273925781,-229.8004150390625
727,2021-11-02 12,53.25,184.5,nan,0,0,18.1,570.0,3.499,30.6,48.1,990.6,1030.2546223587956,39.70066728067059,989.6541645338491,-0.899790544275902,-123.52685546875,-17.807149116333218,5201.8916015625,738.7380983823076,347.04044189257945,-291.6474609375,2.731889009475708,5.673577880859398,7.961643218994141,-253.79559326171875
