track,hf,when,lat,lon,p_centre,p_env,depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_dist_km
371,0,2021-11-10 00,43.0,204.0,984.4,1005.6,21.2,300.0,2.01,6.775,44.5,92.7,34.4,48.3,119.0
369,0,2021-11-10 00,52.75,230.75,990.6,1010.0,19.4,570.0,1.2,3.649,31.7,42.8,36.2,59.4,225.0
370,0,2021-11-10 00,51.25,185.75,992.4,1008.7,16.3,770.0,0.46,2.655,26.1,31.8,36.1,49.7,471.0
371,0,2021-11-10 06,44.5,206.25,983.4,1005.8,22.4,330.0,1.87,6.663,45.0,88.7,37.0,50.8,111.0
371,0,2021-11-10 12,46.0,209.0,983.0,1005.4,22.3,370.0,1.58,6.044,43.3,78.4,37.8,53.3,113.0
371,0,2021-11-10 18,47.5,211.25,985.3,1005.6,20.3,410.0,1.51,5.079,39.1,64.3,36.8,50.6,173.0
371,0,2021-11-11 00,48.75,213.0,987.5,1005.4,17.9,500.0,1.64,3.816,33.0,47.4,34.7,45.4,158.0
373,0,2021-11-11 06,45.5,212.0,988.5,1006.4,17.9,730.0,0.99,3.009,30.5,39.4,32.7,44.1,210.0
373,0,2021-11-11 12,49.25,216.25,980.0,1006.7,26.7,630.0,1.78,4.821,41.4,59.4,40.3,54.2,251.0
373,0,2021-11-11 18,51.5,217.5,976.0,1007.2,31.1,650.0,1.74,5.48,45.3,65.3,37.3,51.1,343.0
373,0,2021-11-12 00,53.5,220.5,973.9,1007.0,33.1,670.0,1.26,5.706,46.3,66.2,37.7,51.8,215.0
373,0,2021-11-12 06,55.75,221.25,973.1,1006.0,32.9,620.0,1.85,5.967,46.4,67.4,36.8,53.0,223.0
373,0,2021-11-12 12,56.75,220.75,976.8,1007.0,30.3,590.0,2.06,5.556,43.2,62.0,34.3,50.9,146.0
373,0,2021-11-12 18,57.5,222.0,982.4,1007.9,25.5,560.0,2.22,4.861,38.3,53.8,30.5,42.8,120.0
375,0,2021-11-13 12,52.75,163.75,993.6,1009.3,15.8,610.0,1.14,2.864,26.4,33.6,25.6,35.2,494.0
375,0,2021-11-13 18,54.5,165.0,991.2,1008.3,17.1,640.0,1.05,3.003,27.3,34.4,25.1,33.8,391.0
376,0,2021-11-13 18,47.0,221.75,1003.5,1018.7,15.2,500.0,0.64,3.078,28.3,39.3,34.0,46.1,302.0
375,0,2021-11-14 00,56.25,164.75,990.2,1007.4,17.2,660.0,1.03,2.989,26.9,33.6,29.0,39.0,416.0
376,0,2021-11-14 00,49.25,227.0,998.2,1016.8,18.6,450.0,0.61,4.087,33.7,50.3,34.9,49.0,224.0
375,0,2021-11-14 06,56.75,164.75,988.8,1007.2,18.4,650.0,0.86,3.206,28.4,35.8,31.3,44.2,384.0
376,0,2021-11-14 06,51.25,229.25,994.6,1014.2,19.6,430.0,1.33,4.604,35.9,55.1,31.2,45.5,139.0
375,0,2021-11-14 12,56.75,165.75,988.4,1007.6,19.2,630.0,0.77,3.396,29.6,37.9,31.0,46.0,486.0
377,0,2021-11-14 12,58.0,217.0,999.0,1014.3,15.3,500.0,0.94,3.113,26.2,34.3,26.3,33.8,461.0
375,0,2021-11-14 18,56.25,168.0,989.2,1008.0,18.8,640.0,0.62,3.296,29.1,37.0,33.5,43.7,417.0
