label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
1,2021202238,2022-02-14 12,34.5,153.75,996.0,1014.0,18.0,17.2,360.0,1.53,4.789,39.9,78.9,501.0,2021,2,s0081
0,pool_2022021412_34_154,2022-02-14 12,34.5,153.75,996.0,1014.0,18.0,17.2,360.0,1.53,4.789,39.9,78.9,0.0,2021,2,s0081
0,pool_2022021900_34_202,2022-02-19 00,34.0,201.5,1009.4,1026.8,17.4,16.9,380.0,0.96,4.452,38.9,74.3,0.0,2021,2,s0081
0,pool_2022021018_34_146,2022-02-10 18,33.5,146.25,995.3,1015.9,20.6,20.5,420.0,1.67,4.877,42.9,82.5,0.0,2021,2,s0081
1,2021202239,2022-02-19 00,48.0,167.5,979.9,1007.0,27.1,32.5,710.0,1.51,4.575,41.3,57.5,545.0,2021,2,s0082
0,pool_2022022300_52_160,2022-02-23 00,51.75,160.0,961.3,987.2,25.9,34.7,800.0,2.65,4.341,39.3,51.6,0.0,2021,2,s0082
0,pool_2022022818_48_172,2022-02-28 18,47.5,171.75,968.1,997.5,29.4,33.6,650.0,1.21,5.165,44.6,65.4,0.0,2021,2,s0082
0,pool_2022022212_53_168,2022-02-22 12,53.0,167.5,961.4,984.8,23.4,28.2,660.0,2.51,4.274,37.0,49.9,0.0,2021,2,s0082
1,2021202240,2022-02-20 06,41.75,147.25,983.4,1009.8,26.4,26.9,450.0,2.37,5.979,47.0,83.8,263.0,2021,2,s0083
0,pool_2022022806_42_209,2022-02-28 06,42.5,209.25,984.6,1011.4,26.8,26.5,420.0,1.55,6.316,47.5,87.3,0.0,2021,2,s0083
0,pool_2022022806_46_167,2022-02-28 06,46.0,167.0,975.1,999.5,24.5,25.9,530.0,1.84,4.884,41.2,63.4,0.0,2021,2,s0083
0,pool_2022021812_44_166,2022-02-18 12,44.5,166.25,985.2,1007.2,22.0,27.9,770.0,1.54,3.622,36.1,48.2,0.0,2021,2,s0083
1,2021202241,2022-03-11 00,30.0,165.0,1000.6,1015.0,14.4,14.6,500.0,0.67,2.93,33.0,54.7,527.0,2021,3,s0084
0,pool_2022032806_35_232,2022-03-28 06,34.75,231.5,996.5,1012.2,15.7,16.1,500.0,0.97,3.218,33.3,52.7,0.0,2021,3,s0084
0,pool_2022032406_35_154,2022-03-24 06,35.0,154.25,999.4,1016.1,16.7,17.5,550.0,1.14,3.189,33.8,51.9,0.0,2021,3,s0084
0,pool_2022030400_29_210,2022-03-04 00,29.25,209.5,1002.5,1020.0,17.5,16.8,330.0,1.35,5.098,42.2,97.4,0.0,2021,3,s0084
1,2021202242,2022-03-18 00,31.25,176.25,996.6,1013.8,17.2,16.5,250.0,1.17,6.593,44.0,118.6,405.0,2021,3,s0085
1,2021202243,2022-04-02 18,47.5,189.25,997.8,1009.2,11.4,11.7,480.0,0.75,2.43,23.2,30.8,443.0,2021,4,s0086
1,2021202244,2022-04-29 00,33.5,131.25,1001.8,1016.3,14.4,14.3,400.0,1.07,3.572,34.1,60.4,550.0,2021,4,s0087
0,pool_2022040412_33_145,2022-04-04 12,33.0,145.25,1008.9,1024.0,15.1,14.7,420.0,0.91,3.508,34.4,60.1,0.0,2021,4,s0087
1,2022202301,2022-06-11 18,32.75,140.0,999.5,1013.1,13.6,13.9,500.0,0.76,2.779,30.6,47.9,472.0,2022,6,s0088
1,2022202302,2022-09-14 06,30.0,161.75,979.0,1011.4,32.4,30.9,200.0,2.05,15.457,66.7,288.5,472.0,2022,9,s0089
1,2022202303,2022-09-28 00,32.25,145.5,986.7,1012.6,25.9,25.1,250.0,1.42,10.025,56.4,175.3,334.0,2022,9,s0090
0,pool_2022092800_32_146,2022-09-28 00,32.25,145.5,986.7,1012.6,25.9,25.1,250.0,1.42,10.025,56.4,175.3,0.0,2022,9,s0090
1,2022202304,2022-10-17 12,43.5,202.25,981.9,1006.9,25.0,25.3,470.0,1.31,5.391,43.7,73.1,339.0,2022,10,s0091
0,pool_2022100200_38_215,2022-10-02 00,38.5,215.25,994.1,1016.1,22.0,21.8,430.0,1.03,5.063,42.4,75.9,0.0,2022,10,s0091
0,pool_2022100806_42_154,2022-10-08 06,41.75,153.5,997.3,1020.1,22.8,22.3,360.0,1.21,6.19,44.9,86.8,0.0,2022,10,s0091
0,pool_2022100806_40_208,2022-10-08 06,39.5,208.0,990.6,1015.7,25.0,25.8,500.0,2.14,5.154,44.5,75.6,0.0,2022,10,s0091
1,2022202305,2022-10-27 18,49.75,164.5,996.2,1019.0,22.8,23.7,530.0,1.45,4.467,37.4,54.6,477.0,2022,10,s0092
0,pool_2022102206_50_192,2022-10-22 06,50.5,192.25,996.6,1018.0,21.4,20.8,330.0,0.99,6.289,41.8,76.1,0.0,2022,10,s0092
0,pool_2022100906_51_172,2022-10-09 06,50.75,171.75,994.0,1021.1,27.1,26.5,370.0,1.46,7.158,47.3,86.3,0.0,2022,10,s0092
0,pool_2022102718_50_164,2022-10-27 18,49.75,164.5,996.2,1019.0,22.8,23.7,530.0,1.45,4.467,37.4,54.6,0.0,2022,10,s0092
1,2022202306,2022-11-08 12,35.5,157.0,1009.6,1018.9,9.3,9.9,590.0,0.53,1.673,20.7,26.9,421.0,2022,11,s0093
1,2022202307,2022-11-15 12,34.5,144.5,1003.0,1013.1,10.1,9.9,380.0,0.72,2.594,26.5,42.7,335.0,2022,11,s0094
1,2022202308,2022-11-21 00,29.5,142.5,1003.3,1017.1,13.7,13.6,410.0,1.29,3.311,34.1,62.8,312.0,2022,11,s0095
1,2022202309,2022-11-21 18,36.25,184.25,1008.5,1021.4,12.9,13.0,460.0,0.78,2.825,29.1,44.6,448.0,2022,11,s0096
0,pool_2022110506_38_182,2022-11-05 06,38.25,182.0,1004.1,1020.3,16.3,16.3,450.0,0.69,3.623,34.0,54.6,0.0,2022,11,s0096
0,pool_2022111618_41_188,2022-11-16 18,41.0,188.0,997.0,1012.8,15.8,15.2,350.0,1.23,4.342,35.1,61.8,0.0,2022,11,s0096
1,2022202310,2022-11-23 00,31.5,132.75,1010.5,1018.5,8.0,8.3,540.0,0.74,1.54,20.2,27.5,537.0,2022,11,s0097
1,2022202311,2022-11-24 06,30.0,212.25,1013.4,1021.3,7.9,8.0,470.0,0.63,1.707,21.8,31.9,91.0,2022,11,s0098
1,2022202312,2022-11-27 12,32.0,155.75,999.9,1016.6,16.7,16.3,390.0,1.29,4.169,38.2,73.4,391.0,2022,11,s0099
0,pool_2022112700_30_146,2022-11-27 00,30.0,146.5,995.8,1015.8,19.9,18.9,250.0,1.89,7.554,48.2,141.0,0.0,2022,11,s0099
0,pool_2022112200_36_189,2022-11-22 00,36.5,188.75,1001.9,1021.3,19.4,19.7,480.0,0.86,4.111,38.5,64.5,0.0,2022,11,s0099
0,pool_2022112706_30_150,2022-11-27 06,30.5,150.0,995.3,1014.9,19.6,18.9,320.0,1.43,5.919,45.4,108.8,0.0,2022,11,s0099
1,2022202313,2022-11-29 06,48.0,141.5,990.7,1014.6,23.9,25.9,580.0,1.75,4.473,38.8,56.2,436.0,2022,11,s0100
0,pool_2022111206_53_169,2022-11-12 06,52.75,168.75,987.2,1007.3,20.0,21.4,580.0,0.48,3.687,32.1,43.2,0.0,2022,11,s0100
0,pool_2022111906_52_215,2022-11-19 06,51.75,214.75,989.8,1017.4,27.6,27.8,480.0,1.85,5.784,43.6,68.7,0.0,2022,11,s0100
