label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum,tend12,tend24,back_path_km
0,pool_2021011718_44_203,2021-01-17 18,43.5,203.25,988.0,1012.5,24.5,27.3,630.0,1.31,4.329,40.1,58.7,0.0,2020,1,t0025,-8.5,,568.0
1,2020202129,2021-01-12 18,38.0,149.0,998.8,1014.3,15.5,16.9,570.0,0.9,2.967,31.2,45.0,543.0,2020,1,t0028,-9.5,-15.6,1784.0
0,pool_2021011800_36_162,2021-01-18 00,36.0,161.75,997.1,1014.7,17.6,17.3,400.0,0.92,4.314,37.9,68.5,0.0,2020,1,t0028,-10.7,,1086.0
0,pool_2021012812_36_149,2021-01-28 12,36.0,149.0,997.4,1013.4,16.0,15.9,420.0,1.09,3.782,35.1,60.1,0.0,2020,1,t0028,-10.3,,924.0
0,pool_2021011218_38_149,2021-01-12 18,37.5,148.75,998.3,1014.2,15.9,17.2,560.0,1.26,3.069,32.0,47.0,0.0,2020,1,t0028,-10.0,,1008.0
1,2020202130,2021-01-14 00,45.75,203.0,962.5,998.9,36.4,38.1,530.0,2.6,7.186,54.5,93.6,541.0,2020,1,t0029,-2.8,-6.2,1006.0
0,pool_2021011618_48_151,2021-01-16 18,47.75,151.0,991.1,1012.7,21.5,23.1,520.0,1.39,4.439,37.6,56.0,0.0,2020,1,t0029,-4.2,,434.0
0,pool_2021011318_49_144,2021-01-13 18,49.0,144.5,994.3,1013.2,18.9,18.1,290.0,1.49,6.241,40.3,77.2,0.0,2020,1,t0029,-3.3,,341.0
0,pool_2021011606_46_146,2021-01-16 06,45.75,146.25,995.3,1015.7,20.4,20.8,420.0,1.19,4.952,39.1,64.5,0.0,2020,1,t0029,0.1,,732.0
1,2020202131,2021-01-18 00,36.5,163.25,998.4,1014.5,16.1,15.9,410.0,0.68,3.881,35.3,60.9,544.0,2020,1,t0030,-10.4,-14.6,1883.0
0,pool_2021012818_38_152,2021-01-28 18,38.25,151.5,992.3,1011.0,18.6,18.9,460.0,0.99,4.119,37.5,62.1,0.0,2020,1,t0030,-10.5,,882.0
1,2020202134,2021-01-22 06,51.5,162.0,993.6,1003.8,10.2,12.0,640.0,1.37,1.877,18.8,22.4,529.0,2020,1,t0033,10.5,22.3,1650.0
0,pool_2021010306_56_223,2021-01-03 06,56.5,223.25,972.0,991.1,19.1,23.0,720.0,0.79,3.196,28.8,35.8,0.0,2020,1,t0033,7.6,,514.0
0,pool_2021011712_56_202,2021-01-17 12,55.5,202.5,983.6,1006.0,22.3,24.6,580.0,1.87,4.243,35.2,48.0,0.0,2020,1,t0033,9.9,,100.0
0,pool_2021010100_48_212,2021-01-01 00,47.5,212.0,977.5,1003.4,25.9,28.1,590.0,1.49,4.766,41.0,60.3,0.0,2020,1,t0033,8.9,,536.0
1,2020202135,2021-01-24 12,31.75,152.5,996.5,1015.3,18.7,20.5,610.0,0.81,3.36,37.6,59.6,512.0,2020,1,t0034,-6.9,-10.2,1353.0
0,pool_2021012412_32_152,2021-01-24 12,31.75,152.5,996.5,1015.3,18.7,20.5,610.0,0.81,3.36,37.6,59.6,0.0,2020,1,t0034,-6.9,,430.0
0,pool_2021012406_32_150,2021-01-24 06,31.5,150.25,997.9,1015.8,17.9,19.0,570.0,0.75,3.325,36.8,59.4,0.0,2020,1,t0034,-6.1,,689.0
1,2020202136,2021-01-29 18,45.5,155.25,979.0,1003.6,24.6,31.3,760.0,1.4,4.112,39.5,53.8,545.0,2020,1,t0035,-6.3,-13.3,1020.0
0,pool_2021012618_49_228,2021-01-26 18,48.75,227.75,984.8,1009.2,24.3,32.2,790.0,1.59,4.074,38.3,50.6,0.0,2020,1,t0035,-6.3,,350.0
0,pool_2021011700_50_155,2021-01-17 00,49.75,155.0,988.4,1012.5,24.1,28.8,700.0,0.88,4.107,37.3,50.2,0.0,2020,1,t0035,-6.1,,682.0
0,pool_2021012612_49_228,2021-01-26 12,49.0,227.5,986.5,1009.8,23.3,29.7,750.0,1.64,3.957,36.9,48.9,0.0,2020,1,t0035,-7.4,,859.0
1,2020202137,2021-02-04 00,39.0,138.5,1007.6,1018.4,10.8,10.1,340.0,1.12,2.976,27.1,44.1,498.0,2020,2,t0036,2.5,43.8,1983.0
0,pool_2021020418_35_201,2021-02-04 18,35.0,201.0,999.8,1017.7,18.0,18.9,540.0,1.17,3.493,36.0,56.8,0.0,2020,2,t0036,-0.5,,473.0
1,2020202139,2021-02-14 12,28.75,131.25,1005.7,1013.5,7.8,8.4,550.0,0.4,1.53,21.2,29.7,547.0,2020,2,t0038,-5.2,-5.0,1048.0
0,pool_2021022712_34_158,2021-02-27 12,33.5,158.5,1001.9,1018.6,16.7,16.5,390.0,1.19,4.219,38.0,71.3,0.0,2020,2,t0038,-4.4,,923.0
0,pool_2021022706_32_154,2021-02-27 06,32.25,153.75,1001.5,1017.1,15.6,15.0,350.0,1.23,4.289,37.5,75.0,0.0,2020,2,t0038,-6.0,,985.0
1,2020202140,2021-02-17 06,45.75,143.75,976.0,1000.6,24.6,27.9,600.0,1.93,4.646,41.0,60.5,542.0,2020,2,t0039,10.6,25.5,348.0
0,pool_2021021318_47_236,2021-02-13 18,47.0,235.75,1005.6,1020.9,15.3,15.5,540.0,1.5,2.866,27.2,36.6,0.0,2020,2,t0039,10.5,,231.0
1,2020202141,2021-02-24 12,54.5,208.25,992.6,1015.7,23.1,24.7,550.0,1.09,4.482,36.5,51.4,369.0,2020,2,t0040,-11.8,-19.1,1139.0
0,pool_2021021212_51_216,2021-02-12 12,51.0,216.25,990.8,1012.3,21.5,22.3,440.0,2.25,5.07,38.9,60.9,0.0,2020,2,t0040,-9.6,,698.0
0,pool_2021021218_52_218,2021-02-12 18,51.5,217.5,986.9,1014.1,27.2,27.6,470.0,2.83,5.875,43.9,70.1,0.0,2020,2,t0040,-8.8,,252.0
0,pool_2021022800_58_208,2021-02-28 00,57.75,208.0,988.0,1011.2,23.2,34.2,910.0,0.79,3.76,34.0,41.5,0.0,2020,2,t0040,-8.8,,875.0
1,2020202142,2021-02-27 18,48.75,160.0,980.2,1014.6,34.5,36.3,520.0,2.1,6.989,52.1,86.8,540.0,2020,2,t0041,-9.8,-20.3,638.0
0,pool_2021020812_46_163,2021-02-08 12,46.0,163.0,978.6,1000.3,21.7,21.2,240.0,1.77,8.839,48.0,114.7,0.0,2020,2,t0041,-12.8,,480.0
0,pool_2021022706_48_158,2021-02-27 06,47.5,157.75,990.0,1018.3,28.3,29.5,530.0,1.48,5.574,44.9,70.6,0.0,2020,2,t0041,-10.5,,225.0
0,pool_2021020806_44_162,2021-02-08 06,44.5,161.75,983.5,999.5,16.0,15.8,200.0,1.25,7.877,42.0,104.9,0.0,2020,2,t0041,-11.4,,833.0
1,2021202201,2021-10-01 00,58.5,208.0,980.1,1003.1,23.0,28.5,730.0,1.31,3.908,33.7,42.8,540.0,2021,10,t0044,-0.5,6.0,1391.0
0,pool_2021101806_57_210,2021-10-18 06,56.75,210.5,974.5,1001.1,26.6,31.1,660.0,1.95,4.716,38.9,52.6,0.0,2021,10,t0044,1.6,,366.0
0,pool_2021101018_58_186,2021-10-10 18,57.75,186.5,988.9,1014.1,25.2,25.9,480.0,1.17,5.392,39.9,59.5,0.0,2021,10,t0044,-2.6,,350.0
0,pool_2021101706_58_182,2021-10-17 06,57.5,181.5,973.5,1003.2,29.6,33.9,660.0,1.51,5.143,41.5,56.9,0.0,2021,10,t0044,2.0,,210.0
1,2021202202,2021-10-01 00,32.0,140.25,957.6,1009.7,52.1,50.3,270.0,2.81,18.636,83.7,328.2,321.0,2021,10,t0045,7.3,5.3,705.0
0,pool_2021101700_34_167,2021-10-17 00,34.0,167.25,1000.9,1016.5,15.7,15.0,270.0,0.97,5.552,39.9,92.7,0.0,2021,10,t0045,4.4,,287.0
1,2021202203,2021-10-20 06,53.0,209.0,988.8,995.7,7.0,14.8,1200.0,0.38,1.232,13.5,14.4,543.0,2021,10,t0046,11.7,10.0,1445.0
0,pool_2021101818_51_221,2021-10-18 18,51.0,221.25,984.9,1003.3,18.4,23.2,740.0,1.2,3.132,29.9,37.6,0.0,2021,10,t0046,10.2,,1095.0
0,pool_2021101818_53_208,2021-10-18 18,53.25,208.25,983.6,1002.8,19.2,23.8,740.0,1.19,3.216,29.9,37.5,0.0,2021,10,t0046,9.1,,472.0
1,2021202204,2021-10-21 00,50.75,173.25,974.9,1005.2,30.2,32.0,560.0,1.52,5.715,45.3,68.9,482.0,2021,10,t0047,-9.4,-21.0,2109.0
0,pool_2021100312_54_162,2021-10-03 12,53.5,162.0,967.6,1012.8,45.2,46.1,490.0,3.68,9.415,61.5,109.3,0.0,2021,10,t0047,-10.9,,598.0
0,pool_2021100318_56_165,2021-10-03 18,55.5,165.0,963.6,1011.5,48.0,49.7,520.0,3.52,9.556,62.6,108.2,0.0,2021,10,t0047,-10.3,,555.0
0,pool_2021100700_48_171,2021-10-07 00,47.75,171.25,992.5,1011.7,19.1,18.6,310.0,1.56,5.984,40.2,75.5,0.0,2021,10,t0047,-9.0,,784.0
1,2021202206,2021-10-23 06,39.5,157.5,992.5,1014.1,21.6,22.9,570.0,0.89,4.011,38.5,58.8,436.0,2021,10,t0049,-6.9,-14.2,1710.0
0,pool_2021102012_41_146,2021-10-20 12,41.25,146.25,991.5,1010.1,18.6,18.6,400.0,1.75,4.651,38.2,65.8,0.0,2021,10,t0049,-4.3,,801.0
0,pool_2021102218_36_152,2021-10-22 18,35.5,152.0,999.4,1014.6,15.2,16.3,570.0,0.86,2.863,31.3,46.0,0.0,2021,10,t0049,-7.3,,1044.0
1,2021202208,2021-11-02 00,41.75,218.0,988.0,1003.4,15.3,16.3,500.0,1.32,3.268,31.2,45.8,398.0,2021,11,t0051,2.3,4.6,1864.0
0,pool_2021110212_39_212,2021-11-02 12,39.25,212.0,992.1,1008.7,16.5,17.6,570.0,0.71,3.088,31.7,45.6,0.0,2021,11,t0051,4.8,,397.0
0,pool_2021110300_40_218,2021-11-03 00,39.5,217.5,994.8,1011.4,16.5,17.4,540.0,0.55,3.217,32.2,47.2,0.0,2021,11,t0051,2.7,,481.0
0,pool_2021112612_45_186,2021-11-26 12,45.0,186.5,991.5,1008.3,16.8,17.8,560.0,0.77,3.18,30.4,42.0,0.0,2021,11,t0051,1.1,,589.0
1,2021202209,2021-11-03 06,37.5,150.75,994.4,1014.1,19.8,20.7,520.0,1.98,3.978,38.1,61.0,344.0,2021,11,t0052,-10.7,-16.4,1306.0
0,pool_2021110918_42_202,2021-11-09 18,42.0,201.5,992.1,1007.6,15.5,15.4,420.0,1.45,3.678,32.5,51.3,0.0,2021,11,t0052,-8.8,,217.0
1,2021202211,2021-11-21 12,43.75,216.0,1006.9,1016.2,9.4,9.1,390.0,0.43,2.333,22.3,31.5,520.0,2021,11,t0054,-4.0,11.1,1769.0
0,pool_2021112612_44_206,2021-11-26 12,44.5,205.5,990.3,1010.3,19.9,20.8,540.0,1.54,3.857,35.1,51.4,0.0,2021,11,t0054,-5.1,,812.0
0,pool_2021111918_42_200,2021-11-19 18,41.75,199.75,994.7,1011.8,17.2,18.0,520.0,1.31,3.455,32.9,48.4,0.0,2021,11,t0054,-3.1,,919.0
0,pool_2021111012_46_209,2021-11-10 12,46.0,209.0,983.0,1005.4,22.3,22.4,370.0,1.58,6.044,43.3,78.4,0.0,2021,11,t0054,-1.4,,518.0
1,2021202212,2021-12-01 00,46.5,138.75,982.1,1013.4,31.4,35.0,630.0,1.59,5.557,47.2,71.5,546.0,2021,12,t0055,-8.7,-26.5,1558.0
0,pool_2021122400_52_229,2021-12-24 00,51.5,228.75,987.9,1008.9,21.0,22.1,540.0,1.35,4.102,34.7,48.9,0.0,2021,12,t0055,-9.6,,1001.0
0,pool_2021122418_48_150,2021-12-24 18,48.0,149.5,993.0,1015.4,22.4,22.4,430.0,1.73,5.216,40.2,65.5,0.0,2021,12,t0055,-7.9,,263.0
0,pool_2021121106_43_158,2021-12-11 06,43.25,157.75,991.4,1015.1,23.7,24.8,530.0,1.48,4.687,40.9,63.8,0.0,2021,12,t0055,-8.3,,279.0
