track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu,depth_pw,dt,gfs_f024_kt,wind_kt
1211,2022-04-03 00,48.5,194.0,18.0,1,1,13.5,470.0,2.965,26.8,45.1,993.6,1030.1484627796597,36.56283045544092,978.1485910671381,-15.437041257080637,51.53515625,-40.39087505478047,5405.1201171875,1705.8204769825368,287.1357396999995,-304.6796875,1.8754100799560547,5.658837890625023,-466.86138916015625,-455.926025390625,17.03,2022-04-03 00,56.4,32.8
1230,2022-04-11 12,49.5,172.0,nan,0,0,21.4,770.0,3.483,33.3,48.4,992.4,1025.198837998521,32.83915782273971,1000.720154730527,8.360474554745792,-111.46337890625,28.064614948906087,5253.17431640625,202.24552893876782,195.55373972481107,-276.11376953125,3.986591339111328,3.2050720214843977,80.7724838256836,-131.95025634765625,13.07,2022-04-11 12,30.9,33.8
1280,2022-04-29 18,37.5,146.5,6.0,1,1,30.0,330.0,8.817,56.3,69.9,983.1,1020.9797842776895,37.90416171909578,1005.4912946102767,22.415672051682918,120.1318359375,47.82701181696385,5685.31494140625,223.43008194562498,308.23087219166894,-238.29833984375,19.626419067382812,17.260675048828148,-134.32984924316406,-448.9938049316406,31.1,2022-04-29 18,60.9,51.5
1977,2023-10-10 06,39.0,147.75,24.0,1,1,15.8,540.0,3.056,31.1,50.0,999.4,1024.3135114001802,24.915440111117732,1015.632709038937,16.234637749874537,93.08203125,-43.55456285183077,5708.61328125,1751.422724187831,359.2932551536211,-253.609375,12.164958000183105,20.442987060546898,-80.39476013183594,-510.6380310058594,13.98,2023-10-10 06,66.7,34.1
1985,2023-10-13 18,31.75,153.0,18.0,1,1,57.8,240.0,22.99,89.7,107.4,950.3,1014.104167487749,63.83469727290526,1000.9479719510382,50.67850173619445,218.3623046875,47.661701746465084,5926.35107421875,200.09356620263304,236.09927633621157,-183.55224609375,2.5020205974578857,26.874993896484398,154.38339233398438,126.63764953613281,51.1,2023-10-13 18,64.4,66.5
2024,2023-10-27 00,40.5,167.0,nan,0,0,15.2,400.0,3.794,33.3,53.1,998.8,1013.1367080070443,14.344593749231763,1004.0003094185253,5.208195160712762,113.21728515625,-76.76208080946371,5690.978515625,1006.2660741974863,263.6139015735499,-194.48388671875,6.556571960449219,19.706323242187523,-27.860904693603516,-289.6049499511719,19.72,2023-10-27 00,31.9,37.5
2042,2023-11-01 18,50.0,203.0,nan,0,0,15.8,760.0,2.602,25.9,35.1,988.3,1013.347234030904,25.06299330824777,997.4152414781839,9.13100075552768,44.87451171875,139.2924360809929,5412.9892578125,1533.4050988374668,265.81281557811405,-203.89599609375,2.105302095413208,9.965081787109398,-6.559033393859863,28.764219284057617,10.0,2023-11-01 18,24.8,25.7
2086,2023-11-13 00,37.75,151.0,nan,0,0,20.8,270.0,7.194,46.0,67.5,991.4,1031.840153459253,40.39844203347184,1001.6907177400374,10.249006314256121,89.8681640625,116.30710624097203,5636.9833984375,957.7347300797661,283.24065078716205,-334.13818359375,11.861709594726562,22.402795410156273,-309.0724792480469,-557.8513793945312,18.64,2023-11-13 00,42.5,43.3
2098,2023-11-19 00,46.5,157.0,6.0,1,1,28.1,670.0,5.046,44.5,67.2,966.8,1015.983633156772,49.20043003177204,987.2965631926689,20.51336006766894,91.74267578125,44.866740330130526,5504.46728515625,669.9511704208693,277.0979665349231,-374.533203125,9.561652183532715,8.105218505859398,-251.83380126953125,-497.7068786621094,22.21,2023-11-19 00,49.2,45.4
2093,2023-11-19 00,41.0,203.0,18.0,1,1,27.9,540.0,5.401,46.4,59.8,987.6,1030.1163605408312,42.55190741583124,1006.8289908660812,19.2645377410812,81.466796875,-23.914713844254102,5587.96630859375,663.8632469896055,233.42431610651286,-270.28369140625,2.5134317874908447,14.671533203125023,-127.09667205810547,-405.5050048828125,20.62,2023-11-19 00,55.7,38.1
