label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
1,2021202238,2022-02-14 12,34.5,153.75,996.0,1014.0,18.0,17.2,360.0,1.53,4.789,39.9,78.9,501.0,2021,2,
1,2021202239,2022-02-19 00,48.0,167.5,979.9,1007.0,27.1,32.5,710.0,1.51,4.575,41.3,57.5,545.0,2021,2,
1,2021202240,2022-02-20 06,41.75,147.25,983.4,1009.8,26.4,26.9,450.0,2.37,5.979,47.0,83.8,263.0,2021,2,
1,2021202241,2022-03-11 00,30.0,165.0,1000.6,1015.0,14.4,14.6,500.0,0.67,2.93,33.0,54.7,527.0,2021,3,
1,2021202242,2022-03-18 00,31.25,176.25,996.6,1013.8,17.2,16.5,250.0,1.17,6.593,44.0,118.6,405.0,2021,3,
1,2021202243,2022-04-02 18,47.5,189.25,997.8,1009.2,11.4,11.7,480.0,0.75,2.43,23.2,30.8,443.0,2021,4,
1,2021202244,2022-04-29 00,33.5,131.25,1001.8,1016.3,14.4,14.3,400.0,1.07,3.572,34.1,60.4,550.0,2021,4,
1,2022202301,2022-06-11 18,32.75,140.0,999.5,1013.1,13.6,13.9,500.0,0.76,2.779,30.6,47.9,472.0,2022,6,
1,2022202302,2022-09-14 06,30.0,161.75,979.0,1011.4,32.4,30.9,200.0,2.05,15.457,66.7,288.5,472.0,2022,9,
1,2022202303,2022-09-28 00,32.25,145.5,986.7,1012.6,25.9,25.1,250.0,1.42,10.025,56.4,175.3,334.0,2022,9,
1,2022202304,2022-10-17 12,43.5,202.25,981.9,1006.9,25.0,25.3,470.0,1.31,5.391,43.7,73.1,339.0,2022,10,
1,2022202305,2022-10-27 18,49.75,164.5,996.2,1019.0,22.8,23.7,530.0,1.45,4.467,37.4,54.6,477.0,2022,10,
1,2022202306,2022-11-08 12,35.5,157.0,1009.6,1018.9,9.3,9.9,590.0,0.53,1.673,20.7,26.9,421.0,2022,11,
1,2022202307,2022-11-15 12,34.5,144.5,1003.0,1013.1,10.1,9.9,380.0,0.72,2.594,26.5,42.7,335.0,2022,11,
1,2022202308,2022-11-21 00,29.5,142.5,1003.3,1017.1,13.7,13.6,410.0,1.29,3.311,34.1,62.8,312.0,2022,11,
1,2022202309,2022-11-21 18,36.25,184.25,1008.5,1021.4,12.9,13.0,460.0,0.78,2.825,29.1,44.6,448.0,2022,11,
1,2022202310,2022-11-23 00,31.5,132.75,1010.5,1018.5,8.0,8.3,540.0,0.74,1.54,20.2,27.5,537.0,2022,11,
1,2022202311,2022-11-24 06,30.0,212.25,1013.4,1021.3,7.9,8.0,470.0,0.63,1.707,21.8,31.9,91.0,2022,11,
1,2022202312,2022-11-27 12,32.0,155.75,999.9,1016.6,16.7,16.3,390.0,1.29,4.169,38.2,73.4,391.0,2022,11,
1,2022202313,2022-11-29 06,48.0,141.5,990.7,1014.6,23.9,25.9,580.0,1.75,4.473,38.8,56.2,436.0,2022,11,
1,2022202314,2022-12-06 06,35.0,143.5,1004.1,1014.0,9.9,9.4,240.0,0.93,3.905,30.3,63.5,428.0,2022,12,
1,2022202315,2022-12-08 00,37.5,149.0,1006.5,1016.5,10.1,9.9,310.0,0.63,3.197,28.1,49.0,380.0,2022,12,
1,2022202316,2022-12-11 00,30.25,156.0,1001.0,1014.1,13.1,12.6,300.0,1.15,4.214,35.8,78.1,493.0,2022,12,
1,2022202317,2022-12-13 06,37.0,177.25,1000.1,1015.1,15.1,16.5,600.0,1.31,2.753,30.1,42.7,327.0,2022,12,
1,2022202318,2022-12-14 00,51.75,147.75,982.0,1012.4,30.4,36.8,750.0,0.51,4.908,42.8,58.3,550.0,2022,12,
1,2022202319,2022-12-17 18,39.5,145.75,995.6,1011.1,15.6,17.7,660.0,1.3,2.687,29.3,39.4,429.0,2022,12,
1,2022202320,2022-12-23 12,44.5,203.0,980.6,992.3,11.8,13.8,650.0,0.56,2.123,22.6,28.3,542.0,2022,12,
1,2022202321,2022-12-23 18,35.5,182.5,984.4,999.3,14.9,15.3,480.0,1.16,3.195,32.5,51.4,543.0,2022,12,
1,2022202322,2023-01-02 18,39.25,198.75,1006.5,1005.7,-0.9,-0.8,540.0,0.06,-0.146,nan,nan,545.0,2022,1,
1,2022202323,2023-01-05 00,54.75,172.75,978.3,998.1,19.9,22.4,660.0,1.09,3.397,30.3,38.8,548.0,2022,1,
1,2022202324,2023-01-07 18,36.5,155.0,1004.7,1013.7,9.0,9.1,470.0,0.23,1.927,21.8,30.2,425.0,2022,1,
1,2022202325,2023-01-10 00,39.25,154.75,998.5,1012.9,14.4,15.6,590.0,1.03,2.636,28.2,38.9,358.0,2022,1,
1,2022202326,2023-01-16 12,38.0,155.25,990.2,1013.1,22.8,23.1,480.0,1.7,4.82,42.5,73.1,448.0,2022,1,
1,2022202327,2023-01-18 06,34.75,145.75,1006.1,1017.4,11.3,11.3,430.0,1.01,2.617,27.5,42.9,392.0,2022,1,
1,2022202328,2023-01-19 12,40.5,203.0,1001.0,1007.7,6.6,6.7,420.0,0.47,1.587,17.3,22.8,547.0,2022,1,
1,2022202329,2023-01-20 12,48.0,179.0,981.5,999.1,17.5,18.7,510.0,1.89,3.672,32.3,46.1,311.0,2022,1,
1,2022202330,2023-01-23 18,32.0,142.25,1003.1,1012.3,9.2,10.0,510.0,0.99,1.952,23.9,34.4,543.0,2022,1,
1,2022202331,2023-01-24 12,42.25,153.0,975.1,1004.5,29.5,33.9,650.0,1.98,5.222,47.1,72.5,547.0,2022,1,
1,2022202332,2023-01-27 06,32.25,138.75,1001.7,1012.1,10.3,11.4,610.0,0.8,1.862,23.9,32.6,549.0,2022,1,
1,2022202333,2023-02-01 12,42.75,144.5,995.7,1015.5,19.8,20.2,500.0,0.94,4.033,36.2,55.5,289.0,2022,2,
1,2022202334,2023-02-08 00,34.5,155.25,999.1,1016.3,17.2,17.5,470.0,1.24,3.721,36.4,61.3,548.0,2022,2,
1,2022202335,2023-02-08 06,44.75,205.0,982.7,1015.5,32.8,34.1,540.0,1.61,6.319,50.4,83.8,545.0,2022,2,
1,2022202336,2023-02-09 06,44.75,176.75,962.0,1005.3,43.3,43.2,400.0,2.98,10.804,66.0,143.2,549.0,2022,2,
1,2022202337,2023-02-10 06,32.25,133.75,1006.9,1019.7,12.8,12.9,460.0,0.83,2.798,30.3,48.9,477.0,2022,2,
1,2022202338,2023-02-13 12,34.5,145.25,993.6,1012.0,18.5,19.1,520.0,1.22,3.68,37.2,60.6,536.0,2022,2,
